0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:49 +0200] "GET /Actori/assets/actori.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:49 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:50 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:50 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:50 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:50 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:53 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:53 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:54 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:53:54 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:41 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:41 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:41 +0200] "GET /Actori/assets/actori.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:42 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:42 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:42 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
